# packages in environment at /<path is redacted>/conda/envs/Jovian_master:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                        main  
lxml                      4.4.0            py36h7ec2d77_0    conda-forge
lz4-c                     1.8.3             he1b5a44_1001    conda-forge
markupsafe                1.1.1            py36h14c3975_0    conda-forge
matplotlib                3.1.1                    py36_1    conda-forge
matplotlib-base           3.1.1            py36he7580a8_1    conda-forge
mistune                   0.8.4           py36h14c3975_1000    conda-forge
multidict                 4.5.2           py36h14c3975_1000    conda-forge
nb_conda                  2.2.1                    py36_2    conda-forge
nb_conda_kernels          2.2.1                    py36_0    conda-forge
nbconvert                 5.5.0                      py_0    conda-forge
nbformat                  4.4.0                      py_1    conda-forge
ncurses                   6.1               hf484d3e_1002    conda-forge
networkx                  2.3                        py_0    conda-forge
nginx                     1.15.9               he784936_0    conda-forge
nodejs                    11.11.0              hf484d3e_0    conda-forge
notebook                  5.7.5                    py36_0    conda-forge
numpy                     1.16.4           py36h95a1406_0    conda-forge
openblas                  0.3.6                h6e990d7_6    conda-forge
openssl                   1.1.1c               h516909a_0    conda-forge
pandas                    0.24.2           py36hb3f55d8_0    conda-forge
pandoc                    2.7.3                         0    conda-forge
pandocfilters             1.4.2                      py_1    conda-forge
pango                     1.42.4               he7ab937_0    conda-forge
parallel                  20190322                      0    conda-forge
paramiko                  2.6.0                    py36_0    conda-forge
parso                     0.5.1                      py_0    conda-forge
pcre                      8.41              hf484d3e_1003    conda-forge
perl                      5.26.2            h516909a_1006    conda-forge
pexpect                   4.7.0                    py36_0    conda-forge
pickleshare               0.7.5                 py36_1000    conda-forge
pip                       19.2.1                   py36_0    conda-forge
pixman                    0.38.0            h516909a_1003    conda-forge
ply                       3.11                       py_1    conda-forge
prettytable               0.7.2                      py_2    conda-forge
prometheus_client         0.7.1                      py_0    conda-forge
prompt_toolkit            2.0.9                      py_0    conda-forge
protobuf                  3.9.0            py36he1b5a44_0    conda-forge
psutil                    5.6.3            py36h516909a_0    conda-forge
pthread-stubs             0.4               h14c3975_1001    conda-forge
ptyprocess                0.6.0                   py_1001    conda-forge
pyasn1                    0.4.5                      py_0    conda-forge
pyasn1-modules            0.0.5                    py36_0    bioconda
pycparser                 2.19                     py36_1    conda-forge
pygments                  2.4.2                      py_0    conda-forge
pygraphviz                1.3.1                    py36_0    bioconda
pynacl                    1.3.0           py36h14c3975_1000    conda-forge
pyparsing                 2.4.2                      py_0    conda-forge
pyqt                      5.9.2            py36hcca6a23_0    conda-forge
pyrsistent                0.15.4           py36h516909a_0    conda-forge
pysftp                    0.2.9                    py36_0    bioconda
python                    3.6.7             h357f687_1005    conda-forge
python-dateutil           2.8.0                      py_0    conda-forge
python-irodsclient        0.7.0                      py_0    conda-forge
pytz                      2019.1                     py_0    conda-forge
pyyaml                    5.1.1            py36h516909a_0    conda-forge
pyzmq                     18.0.2           py36h1768529_2    conda-forge
qgrid                     1.1.1                 py36_1001    conda-forge
qt                        5.9.7                h0c104cb_3    conda-forge
qtconsole                 4.5.2                      py_0    conda-forge
ratelimiter               1.2.0                 py36_1000    conda-forge
readline                  8.0                  hf8c457e_0    conda-forge
requests                  2.13.0                   py36_0    conda-forge
rsa                       3.1.4                    py36_0    bioconda
s3transfer                0.1.13                py36_1001    conda-forge
send2trash                1.5.0                      py_0    conda-forge
setuptools                41.0.1                   py36_0    conda-forge
sip                       4.19.8          py36hf484d3e_1000    conda-forge
six                       1.12.0                py36_1000    conda-forge
smmap2                    2.0.5                      py_0    conda-forge
snakemake                 5.4.3                         0    bioconda
snakemake-minimal         5.4.3                      py_1    bioconda
sqlite                    3.29.0               hcee41ef_0    conda-forge
terminado                 0.8.2                    py36_0    conda-forge
testpath                  0.4.2                   py_1001    conda-forge
tk                        8.6.9             hed695b0_1002    conda-forge
tornado                   5.1.1           py36h14c3975_1000    conda-forge
traitlets                 4.3.2                 py36_1000    conda-forge
tree                      1.7.0                         1    eumetsat
typing_extensions         3.7.4                    py36_0    conda-forge
urllib3                   1.12                     py36_0    bioconda
wcwidth                   0.1.7                      py_1    conda-forge
webencodings              0.5.1                      py_1    conda-forge
wheel                     0.33.4                   py36_0    conda-forge
widgetsnbextension        3.5.1                    py36_0    conda-forge
wrapt                     1.11.2           py36h516909a_0    conda-forge
xmlrunner                 1.7.7                      py_0    conda-forge
xorg-kbproto              1.0.7             h14c3975_1002    conda-forge
xorg-libice               1.0.10               h516909a_0    conda-forge
xorg-libsm                1.2.3             h84519dc_1000    conda-forge
xorg-libx11               1.6.8                h516909a_0    conda-forge
xorg-libxau               1.0.9                h14c3975_0    conda-forge
xorg-libxdmcp             1.1.3                h516909a_0    conda-forge
xorg-libxext              1.3.4                h516909a_0    conda-forge
xorg-libxpm               3.5.12            h14c3975_1002    conda-forge
xorg-libxrender           0.9.10            h516909a_1002    conda-forge
xorg-libxt                1.1.5             h516909a_1003    conda-forge
xorg-renderproto          0.11.1            h14c3975_1002    conda-forge
xorg-xextproto            7.3.0             h14c3975_1002    conda-forge
xorg-xproto               7.0.31            h14c3975_1007    conda-forge
xz                        5.2.4             h14c3975_1001    conda-forge
yaml                      0.1.7             h14c3975_1001    conda-forge
yarl                      1.3.0           py36h14c3975_1000    conda-forge
zeromq                    4.3.2                he1b5a44_2    conda-forge
zlib                      1.2.11            h516909a_1005    conda-forge
zstd                      1.4.0                h3b9ef0a_0    conda-forge
